NUM_THREADS,RUNTIME
1,      1537.969290930
2,      902.713941228
3,      674.041575240
4,      586.210463253
5,      522.659810828
6,      479.873007405
7,      462.608996652
8,      457.155005375
9,      464.871865650
10,      453.736128576
11,      461.108213033
12,      448.455135552
13,      410.977368750
14,      412.144922756
15,      413.623902735
16,      397.705030185
